task,variant,signal,quota,eta,eta_lo,eta_hi,reduction_frac
lateral,oracle,best_dE_metric (E5_loc_heavy) [scene-z],0.5,0.4881841557653462,0.06469905261925628,0.8218596728979428,0.042906676304453724
lateral,oracle,multimetric_dE_oracle [scene-z],0.1,0.20189893518653626,-0.3504728292918604,0.6177300995479743,0.0177449680739465
lateral,oracle,multimetric_dE_oracle [scene-z],0.2,0.02691820122929655,-0.9281949558269753,0.5178398646384746,0.0023658501268499403
lateral,oracle,multimetric_dE_oracle [scene-z],0.3,-0.1132402992588617,-1.0942985045547438,0.4230216459262974,-0.00995272953359612
lateral,oracle,multimetric_dE_oracle [scene-z],0.5,-0.1132402992588617,-1.1295743918470738,0.4185159424384813,-0.00995272953359612
lateral,oracle,PKL_gain [scene-z],0.1,0.19675370393465771,-0.42645838069313813,0.6574406904455093,0.01729275189849564
lateral,oracle,PKL_gain [scene-z],0.2,0.0760891863526633,-0.878608420516017,0.589310019571724,0.0066875052181583515
lateral,oracle,PKL_gain [scene-z],0.3,0.02445184406755259,-0.8733585852677467,0.5265899874347802,0.0021490811327308746
lateral,oracle,PKL_gain [scene-z],0.5,-0.041939024584734114,-1.0526728990762317,0.47064044220581447,-0.0036860355485331554
lateral,oracle,TIP_gain [scene-z],0.1,0.02445184406755259,-0.8941233428177111,0.5064945711582812,0.0021490811327308746
lateral,oracle,TIP_gain [scene-z],0.2,0.017075080883963548,-0.9763987523610497,0.5064945711582812,0.001500734834812506
lateral,oracle,TIP_gain [scene-z],0.3,-0.04931578776832106,-1.0943495482928318,0.4629511237355925,-0.0043343818464513404
lateral,oracle,TIP_gain [scene-z],0.5,-0.06406931413549495,-1.1220594059134852,0.4636091922058146,-0.00563107444228771
plannerC_path_dev,oracle,random,0.1,0.05476593754341753,-0.01240999320659737,0.11540781700020965,0.006816420441480038
plannerC_path_dev,oracle,random,0.2,0.09906389433676457,-0.00178773461101728,0.17494262022534932,0.014296144740073574
plannerC_path_dev,oracle,random,0.3,0.13383582240817232,0.02460036928874629,0.2237745353225242,0.019722581745574556
plannerC_path_dev,oracle,random,0.5,0.2119002569473173,0.06166239602804653,0.3319937699814851,0.031226468850812882
plannerC_path_dev,oracle,uncertainty,0.1,0.006078046109780875,-0.09481480365089298,0.0745878254167769,0.0007565015702346582
plannerC_path_dev,oracle,uncertainty,0.2,-0.023739285515707764,-0.14183306972389725,0.12736234606618652,-0.003425872403166161
plannerC_path_dev,oracle,uncertainty,0.3,0.045972394350266156,-0.1118082872246136,0.19431520633677624,0.006774675787829651
plannerC_path_dev,oracle,uncertainty,0.5,0.1382150361612629,-0.04775291899454713,0.3016878037640125,0.020367920188396418
plannerC_path_dev,oracle,criticality,0.1,0.14805325402123448,0.04883873358675096,0.24629415992175194,0.01842738885530642
plannerC_path_dev,oracle,criticality,0.2,0.2095515080883262,0.07055816992491935,0.3438672035030474,0.03024087343010517
plannerC_path_dev,oracle,criticality,0.3,0.24437858454924308,0.0698780622155471,0.4025610972323138,0.036012605025438564
plannerC_path_dev,oracle,criticality,0.5,0.2718407071385648,0.06304085520441972,0.4468269380658915,0.040059533179121094
plannerC_path_dev,oracle,perception_oracle_dE,0.1,0.20936204385429324,0.11661186936500283,0.2999372399312672,0.026058162781693706
plannerC_path_dev,oracle,perception_oracle_dE,0.2,0.28453943574724855,0.170907734100116,0.40510107133705914,0.04106255851272225
plannerC_path_dev,oracle,perception_oracle_dE,0.3,0.32262348547992264,0.1941899934188344,0.4600750194404315,0.04754308637947611
plannerC_path_dev,oracle,perception_oracle_dE,0.5,0.40292683392136047,0.23423381738717114,0.5630847617880582,0.05937690878652476
plannerC_path_dev,oracle,best_dE_metric (E6_risk_weighted),0.1,0.4073301221308475,0.2868291634839018,0.5659215373959565,0.05069818020958885
plannerC_path_dev,oracle,best_dE_metric (E6_risk_weighted),0.2,0.40457809331736766,0.25154154675311996,0.548079913819238,0.058385620911145214
plannerC_path_dev,oracle,best_dE_metric (E6_risk_weighted),0.3,0.3844652813156055,0.20991905739083086,0.5394107031020532,0.056656340601821814
plannerC_path_dev,oracle,best_dE_metric (E6_risk_weighted),0.5,0.41287982407059215,0.23713565169035195,0.5765197720371059,0.060843621198037795
plannerC_path_dev,oracle,multimetric_dE_oracle,0.1,0.39798331240755486,0.2575681468328645,0.5263832057342376,0.04953483328779158
plannerC_path_dev,oracle,multimetric_dE_oracle,0.2,0.3916895230071676,0.2686529090623332,0.5171046776450493,0.05652564086613648
plannerC_path_dev,oracle,multimetric_dE_oracle,0.3,0.40498938082163843,0.2687663116049584,0.5350616967596332,0.05968085394196119
plannerC_path_dev,oracle,multimetric_dE_oracle,0.5,0.45858361977038364,0.29596174356655985,0.5962775435539028,0.06757871521511714
plannerC_path_dev,oracle,PKL_gain,0.1,0.8242488736549142,0.7670657555270459,0.8704690294592884,0.1025898053291621
plannerC_path_dev,oracle,PKL_gain,0.2,0.8804703733337956,0.8383227725288942,0.9212499340083666,0.12706276066370176
plannerC_path_dev,oracle,PKL_gain,0.3,0.89932034691144,0.8587820984524192,0.9348948471495325,0.1325274409965167
plannerC_path_dev,oracle,PKL_gain,0.5,0.902036428002276,0.8597684967060527,0.9391622801164904,0.13292769356251694
plannerC_path_dev,oracle,TIP_gain,0.1,0.8223508023500329,0.7551952861422667,0.8753836672746361,0.10235356264580217
plannerC_path_dev,oracle,TIP_gain,0.2,0.8462278269688548,0.7895381670265806,0.8851544205768903,0.1221211378617785
plannerC_path_dev,oracle,TIP_gain,0.3,0.8594914155095592,0.8053282304172804,0.8991275903919305,0.12665809046481247
plannerC_path_dev,oracle,TIP_gain,0.5,0.8526568055655678,0.7968170823324541,0.8996279111750515,0.1256509150248291
plannerC_path_dev,oracle,decision_oracle_dJ,0.1,1.0,1.0,1.0,0.12446459874947075
plannerC_path_dev,oracle,decision_oracle_dJ,0.2,1.0,1.0,1.0,0.14431236360923064
