task,variant,signal,scene_normalised,n_frames,n_scenes,eta_10,reduction_frac_10,eta_10_lo,eta_10_hi,eta_10_boot_dropped,eta_20,reduction_frac_20,eta_20_lo,eta_20_hi,eta_20_boot_dropped,eta_30,reduction_frac_30,eta_30_lo,eta_30_hi,eta_30_boot_dropped,eta_50,reduction_frac_50,eta_50_lo,eta_50_hi,eta_50_boot_dropped,spearman_vs_dJ,kendall_vs_dJ,inversion_rate_vs_dJ,top10_overlap_vs_dJ,top20_overlap_vs_dJ
longitudinal,mono,criticality [scene-z],True,3376,85,0.037636866537456876,0.010528445417702294,-0.05670856757984946,0.14660883817757983,0.0,0.11372015131684743,0.0318117982760521,-0.025253646209193376,0.23780436980956285,0.0,0.14539998443003369,0.04067383766613137,-0.005493594782940498,0.32356006040423774,0.0,0.4728840097352289,0.13228342164049797,0.17401048291186677,0.5933358107222856,0.0,0.035307143669511896,0.028828593793333336,0.4731474429232227,0.11242603550295859,0.22074074074074074
longitudinal,mono,perception_oracle_dE [scene-z],True,3376,85,0.061979358139070295,0.01733795475619625,-0.0246086977214724,0.1494094281000905,0.0,0.1237261553110575,0.03461085347363366,0.003571669816573372,0.25275900741376744,0.0,0.11791727434645853,0.032985891254399914,-0.01801689626322827,0.26775579774037117,0.0,0.09376435193076585,0.026229411538466547,-0.1139278910580317,0.2828131965821875,0.0,0.015727692621187356,0.012914686901286436,0.48787283777466106,0.10355029585798817,0.23703703703703705
longitudinal,mono,best_dE_metric (E6_risk_weighted) [scene-z],True,3376,85,0.14768101983320298,0.04131192895660088,0.014754019283449804,0.304010858913259,0.0,0.14374947654431128,0.04021212860836426,-0.01661915362122898,0.33668762782363615,0.0,0.15318129684187365,0.042850563056503956,-0.020389831604574086,0.3321387639380904,0.0,0.22704706373993377,0.06351359286130914,0.052028751868598976,0.43734137245275595,0.0,0.033938468293691716,0.027384950906511378,0.4738467874794069,0.17159763313609466,0.277037037037037
longitudinal,mono,multimetric_dE_oracle [scene-z],True,3376,85,0.16624609514077537,0.046505277926201787,0.08546634204499477,0.25678974222896145,0.0,0.14089197883362767,0.03941277915539638,0.02543701326643135,0.2558293325017689,0.0,0.12415993763159669,0.03473219868393207,-0.021003667273301944,0.33947653962840113,0.0,0.3882832727496112,0.10861741743783651,0.08766993808739704,0.5418032879926153,0.0,0.003779324206758437,0.002872421226740916,0.49922457445019525,0.14201183431952663,0.19555555555555557
longitudinal,mono,PKL_gain [scene-z],True,3376,85,0.034057440501616194,0.00952714549259972,-0.039939995214192114,0.11308486388298829,0.0,0.04322904995195239,0.012092789191823355,-0.058073948358776606,0.16021109233704037,0.0,0.07167632718488949,0.02005056126966491,-0.04771089840658046,0.18509013790827633,0.0,0.2017789637419649,0.0564451560834255,0.018607791570113597,0.38651357473462106,0.0,0.0028859030050458097,0.002439246100127589,0.4978628889262183,0.10650887573964497,0.18814814814814815
longitudinal,mono,TIP_gain [scene-z],True,3376,85,0.04526499578501271,0.012662319722624616,-0.027493621115171157,0.1438633590556242,0.0,0.02774031543489163,0.0077600083055648465,-0.06289658032670967,0.141009326229231,0.0,0.06262600097401758,0.01751884504858324,-0.05668925918510231,0.18032333133781767,0.0,0.11782476917394001,0.03296001408264474,-0.011132125393457188,0.26986177277188833,0.0,-0.00435006028488233,-0.003359823884370366,0.5029542785782185,0.10650887573964497,0.2088888888888889
lateral,mono,random,False,3376,85,-0.045209413785309106,-0.003727649546632391,-0.2938706736154557,0.1620201095629352,0.0025,-0.11307255597444527,-0.009323165834803904,-0.509689178329042,0.20377649450712423,0.0025,-0.15905748784152618,-0.013114759135267079,-0.7192183403409754,0.20817790422814345,0.0025,-0.20752550314114504,-0.017111089990512668,-1.0341494029060412,0.23188559817044183,0.0025,,,,,
lateral,mono,uncertainty,False,3376,85,0.07993991734837333,0.006591282029813145,-0.5628680524558267,0.5133060884908096,0.0025,0.10154936446972673,0.008373044698699273,-0.606638435361166,0.5429785377164266,0.0025,0.1348084230691486,0.011115352203465944,-0.6583975153798282,0.5248304454294908,0.0025,-0.012134054572548523,-0.0010004885982589594,-1.1156711647886126,0.5059586332315343,0.0025,0.029061703291952016,0.023999876433606914,0.4485366951823503,0.0650887573964497,0.11555555555555555
lateral,mono,criticality,False,3376,85,0.022615679692826893,0.0018647295130631415,-0.5737549697595675,0.39139721259311483,0.0025,0.05753979625227314,0.004744325959006451,-0.8585535878173391,0.4034274219317835,0.0025,-0.11635430728216441,-0.009593755912181876,-1.1715128332441207,0.3490733083077223,0.0025,-0.4175687360994184,-0.03442977423243346,-1.823675570361719,0.18242694163650314,0.0025,-0.006667024147705255,-0.005405080745077892,0.5153670530382859,0.11538461538461539,0.18814814814814815
lateral,mono,perception_oracle_dE,False,3376,85,-0.08451227767316148,-0.0069682866282951336,-0.35757702389739243,0.04915454847012354,0.0025,-0.07257260624715331,-0.005983825493951434,-0.577605555587235,0.14693710845066454,0.0025,-0.09795559575127051,-0.008076727865270033,-1.0158779743527622,0.16986902177344182,0.0025,-0.5267102031468401,-0.043428810187425636,-1.9453386590383963,0.0982882821049012,0.0025,-0.027481663907343957,-0.025276799266341417,0.555765595463138,0.10650887573964497,0.1451851851851852
