scenario,log,type,map,iteration,route_len,route_ids_missing_in_map,d_route_any_m,d_route_first2_m,ego_on_any_road,ego_on_route_block,ego_speed,idm_coll,idm_logdev,pdm_coll,pdm_logdev
087f4978523b5cdd,2021.06.09.17.37.09_veh-12_00404_00864,stationary,us-nv-las-vegas-strip,270,28,0,0.0,0.0,True,True,0.001044468945154663,0.0,0.5891460995246568,0.0,1.2274346641955614
087f4978523b5cdd,2021.06.09.17.37.09_veh-12_00404_00864,stationary,us-nv-las-vegas-strip,283,28,0,0.0,0.0,True,True,0.0011097598279741897,0.0,0.589231598972668,0.0,1.227429094838956
087f4978523b5cdd,2021.06.09.17.37.09_veh-12_00404_00864,stationary,us-nv-las-vegas-strip,296,28,0,0.0,0.0,True,True,0.0013956162811642012,0.0,0.5888936915273221,0.0,1.2273670983462477
087f4978523b5cdd,2021.06.09.17.37.09_veh-12_00404_00864,stationary,us-nv-las-vegas-strip,310,28,0,0.0,0.0,True,True,0.0010655610753441914,0.0,0.5892905604823485,0.0,1.2274319878286717
0ccc6a47285b5da5,2021.10.05.07.10.04_veh-52_01442_01802,near_long_vehicle,sg-one-north,4,32,0,0.0,11.161154093132845,True,True,5.794509799800939,0.0,0.6165907303309328,0.0,11.193099468395156
0ccc6a47285b5da5,2021.10.05.07.10.04_veh-52_01442_01802,near_long_vehicle,sg-one-north,17,32,0,0.0,14.515894181019906,True,True,6.263661827878604,0.0,0.8200351619051205,0.0,7.743331976165416
0ccc6a47285b5da5,2021.10.05.07.10.04_veh-52_01442_01802,near_long_vehicle,sg-one-north,30,32,0,0.0,18.184554500645156,True,True,6.669608822457526,0.0,1.116751181607007,0.0,4.048699561883175
0ccc6a47285b5da5,2021.10.05.07.10.04_veh-52_01442_01802,near_long_vehicle,sg-one-north,43,32,0,0.0,22.093879900440054,True,True,7.06285036640208,0.0,1.5483927631798504,0.0,3.429984553218803
0ccc6a47285b5da5,2021.10.05.07.10.04_veh-52_01442_01802,near_long_vehicle,sg-one-north,57,32,0,0.0,26.62071524559883,True,True,7.299251010525647,0.0,1.8498671225864984,0.0,3.821195660848473
0ccc6a47285b5da5,2021.10.05.07.10.04_veh-52_01442_01802,near_long_vehicle,sg-one-north,70,32,0,0.0,30.99801250678987,True,True,7.372103468237388,0.0,1.9433249133536168,0.0,4.257509155344699
0ccc6a47285b5da5,2021.10.05.07.10.04_veh-52_01442_01802,near_long_vehicle,sg-one-north,83,32,0,0.0,35.482278987882296,True,True,7.430620447172151,0.0,2.086914074611934,0.0,4.42799875878383
0ccc6a47285b5da5,2021.10.05.07.10.04_veh-52_01442_01802,near_long_vehicle,sg-one-north,97,32,0,0.0,40.369247560429876,True,True,7.456283757685109,0.0,2.283799095799764,0.0,4.654094608071167
0ccc6a47285b5da5,2021.10.05.07.10.04_veh-52_01442_01802,near_long_vehicle,sg-one-north,110,32,0,0.0,44.942222207057505,True,True,7.4746850593631216,0.0,2.6710624147219484,0.0,4.659651077600083
0ccc6a47285b5da5,2021.10.05.07.10.04_veh-52_01442_01802,near_long_vehicle,sg-one-north,123,32,0,0.0,49.56564567111023,True,True,7.471500572403055,0.0,3.335647840271946,0.0,3.5489410645697044
0ccc6a47285b5da5,2021.10.05.07.10.04_veh-52_01442_01802,near_long_vehicle,sg-one-north,137,32,0,0.0,54.53477698114937,True,True,7.366630766005899,0.0,4.140245836972037,0.0,1.427676990670172
0ccc6a47285b5da5,2021.10.05.07.10.04_veh-52_01442_01802,near_long_vehicle,sg-one-north,150,32,0,0.0,59.10448816328483,True,True,7.173237295680995,0.0,5.023240352253328,0.0,7.268792898543237
0ccc6a47285b5da5,2021.10.05.07.10.04_veh-52_01442_01802,near_long_vehicle,sg-one-north,163,32,0,0.0,63.503502440222235,True,True,6.690766295566867,0.0,5.616509397963151,0.0,7.843067567396093
0ccc6a47285b5da5,2021.10.05.07.10.04_veh-52_01442_01802,near_long_vehicle,sg-one-north,176,32,0,0.0,67.51890661293044,True,True,5.9506513838673705,0.0,5.59340134439134,0.0,7.76112702434399
0ccc6a47285b5da5,2021.10.05.07.10.04_veh-52_01442_01802,near_long_vehicle,sg-one-north,190,32,0,0.0,71.20449037635831,True,True,4.9851393232025965,0.0,4.67702392633737,0.0,6.767640298099037
0ccc6a47285b5da5,2021.10.05.07.10.04_veh-52_01442_01802,near_long_vehicle,sg-one-north,203,32,0,0.0,74.00504722075121,True,True,4.185074852670297,0.0,3.2611321524199357,0.0,5.368426561328271
0ccc6a47285b5da5,2021.10.05.07.10.04_veh-52_01442_01802,near_long_vehicle,sg-one-north,216,32,0,0.0,76.45179899220412,True,True,3.821288918564273,0.0,2.186393158882776,0.0,3.3061990281823275
0ccc6a47285b5da5,2021.10.05.07.10.04_veh-52_01442_01802,near_long_vehicle,sg-one-north,230,32,0,0.0,78.91283388293108,True,True,3.6807948700488944,0.0,1.2114854879535866,0.0,2.2748532846179743
0ccc6a47285b5da5,2021.10.05.07.10.04_veh-52_01442_01802,near_long_vehicle,sg-one-north,243,32,0,0.0,81.05535477886284,True,True,3.833190141025742,0.0,0.7047503240417089,0.0,1.741779286123849
0ccc6a47285b5da5,2021.10.05.07.10.04_veh-52_01442_01802,near_long_vehicle,sg-one-north,256,32,0,0.0,83.04567946674355,True,True,4.223186879363793,0.0,0.6006577321192956,0.0,1.6854900793751566
0ccc6a47285b5da5,2021.10.05.07.10.04_veh-52_01442_01802,near_long_vehicle,sg-one-north,270,32,0,0.0,84.92557269654412,True,True,4.707626900691339,0.0,0.6086516642146498,0.0,2.0049096357187897
0ccc6a47285b5da5,2021.10.05.07.10.04_veh-52_01442_01802,near_long_vehicle,sg-one-north,283,32,0,0.0,86.35857960945755,True,True,5.2259351390683175,0.0,0.795954382852222,0.0,2.1312177200850115
0ccc6a47285b5da5,2021.10.05.07.10.04_veh-52_01442_01802,near_long_vehicle,sg-one-north,296,32,0,0.0,87.85822354196647,True,True,5.704163226600656,0.0,1.0465940986101452,0.0,13.841515955775588
0ccc6a47285b5da5,2021.10.05.07.10.04_veh-52_01442_01802,near_long_vehicle,sg-one-north,310,32,0,0.0,89.66543139784284,True,True,6.120255847934864,0.0,1.2876545532549697,0.0,10.258762961794528
1112f279a18757c6,2021.07.16.18.06.21_veh-38_04471_04922,stationary_in_traffic,us-nv-las-vegas-strip,4,39,0,0.0,0.0,True,True,0.0006923549531915837,0.0,1.4290991701323412,0.0,1.982195819444746
1112f279a18757c6,2021.07.16.18.06.21_veh-38_04471_04922,stationary_in_traffic,us-nv-las-vegas-strip,17,39,0,0.0,0.0,True,True,0.0007444224119465246,0.0,1.4313537917168275,0.0,1.983878252471673
1112f279a18757c6,2021.07.16.18.06.21_veh-38_04471_04922,stationary_in_traffic,us-nv-las-vegas-strip,30,39,0,0.0,0.0,True,True,0.0007367436415635683,0.0,1.432266527313431,0.0,1.9853414016819149
1112f279a18757c6,2021.07.16.18.06.21_veh-38_04471_04922,stationary_in_traffic,us-nv-las-vegas-strip,43,39,0,0.0,0.0,True,True,0.0008945235977278486,0.0,1.4303410681467608,0.0,1.9842624527598745
1112f279a18757c6,2021.07.16.18.06.21_veh-38_04471_04922,stationary_in_traffic,us-nv-las-vegas-strip,57,39,0,0.0,0.0,True,True,0.0005514960911836823,0.0,1.4318217255842824,0.0,1.984237196434497
1112f279a18757c6,2021.07.16.18.06.21_veh-38_04471_04922,stationary_in_traffic,us-nv-las-vegas-strip,70,39,0,0.0,0.0,True,True,0.0002769816007310178,0.0,1.4302827338971826,0.0,1.9828169903975343
1112f279a18757c6,2021.07.16.18.06.21_veh-38_04471_04922,stationary_in_traffic,us-nv-las-vegas-strip,83,39,0,0.0,0.0,True,True,0.00019514207808116605,0.0,1.430901856521929,0.0,1.9841655302898744
1112f279a18757c6,2021.07.16.18.06.21_veh-38_04471_04922,stationary_in_traffic,us-nv-las-vegas-strip,97,39,0,0.0,0.0,True,True,0.0006351596344088339,0.0,1.4290949454058857,0.0,1.982774835407864
