quota,policy,mode,total_risk,risk_sd,risk_all_cheap,risk_all_full,risk_oracle,risk_reduction,eta,frac_of_full_gain,n_selected,std_err_total,mean_latency_ms,extra_compute_ms,risk_per_extra_ms,risk_per_1000_extra_ms,total_frames,std_err_captured
0.2,learned_unc_crit,pooled,527.4154570535294,0.0,703.3057591408106,441.00440110880066,386.08150370290923,175.89030208728116,0.554466750483753,0.6705657317481994,500,5184.0,7.84,2600.0,0.06765011618741583,67.65011618741583,2500.0,0.3282565130260521
0.2,learned_all_visual,pooled,600.0942829790716,0.0,703.3057591408106,441.00440110880066,386.08150370290923,103.21147616173891,0.32535808467503274,0.3934843377713032,500,5213.0,7.84,2600.0,0.03969672160066881,39.69672160066881,2500.0,0.3166332665330661
0.2,learned_all,pooled,521.7618613107138,0.0,703.3057591408106,441.00440110880066,386.08150370290923,181.54389783009674,0.5722888294890651,0.6921195497887666,500,5195.0,7.84,2600.0,0.06982457608849875,69.82457608849874,2500.0,0.32384769539078156
0.2,oracle,pooled,386.08150370290923,0.0,703.3057591408106,441.00440110880066,386.08150370290923,317.2242554379013,1.0,1.209388536216381,500,4897.0,7.84,2600.0,0.12200932901457744,122.00932901457743,2500.0,0.4432865731462926
0.3,random,pooled,622.7515269079026,8.101371847297532,703.3057591408106,441.00440110880066,334.65579231307606,80.5542322329079,0.21851143220243363,0.30710566211814083,751,5243.28125,8.36,3905.2000000000003,0.020627428104298857,20.627428104298858,2503.3333333333335,0.3044964929859719
0.3,lowest_confidence,pooled,611.6229602594228,0.0,703.3057591408106,441.00440110880066,334.65579231307606,91.68279888138773,0.24869878511132473,0.34953230730204315,751,5187.0,8.36,3905.2000000000003,0.023477107160039874,23.477107160039875,2503.3333333333335,0.3270541082164329
0.3,lowest_min_confidence,pooled,632.4818146548627,0.0,703.3057591408106,441.00440110880066,334.65579231307606,70.82394448594789,0.19211705102103815,0.27000982769332404,751,5325.0,8.36,3905.2000000000003,0.01813580469270406,18.13580469270406,2503.3333333333335,0.2717434869739479
0.3,highest_uncertainty,pooled,645.33946344963,0.0,703.3057591408106,441.00440110880066,334.65579231307606,57.96629569118056,0.157239389413176,0.22099121455599424,751,5374.0,8.36,3905.2000000000003,0.014843361592538297,14.843361592538297,2503.3333333333335,0.2521042084168337
0.3,highest_entropy,pooled,630.0243406912969,0.0,703.3057591408106,441.00440110880066,334.65579231307606,73.2814184495137,0.19878319556110846,0.27937872300520383,751,5360.0,8.36,3905.2000000000003,0.01876508717850909,18.765087178509088,2503.3333333333335,0.25771543086172344
0.3,scene_complexity,pooled,649.3773564179186,0.0,703.3057591408106,441.00440110880066,334.65579231307606,53.928402722891974,0.14628619985226268,0.20559711595664265,751,5349.0,8.36,3905.2000000000003,0.013809383059226665,13.809383059226665,2503.3333333333335,0.262124248496994
