cell,dataset,system,geometry,moderate_gap_kitti,scheme,split,t_cheap,t_full,n_frames,n_units,cheap_det_per_frame,cheap_precision,cheap_recall,full_det_per_frame,full_precision,full_recall,affected,harmed,harm_rate,harm_rate_lo,harm_rate_hi,rho,rho_lo,rho_hi,all_full_reduction,oracle20_reduction,exact_FN_sign_disagreement,exact_FN_n_both_nonzero,exact_FN_spearman,exact_FN_harmed_given_gain_pos,exact_FN_harmed_given_gain_pos_affected,FN_FP_sign_disagreement,FN_FP_n_both_nonzero,FN_FP_spearman,FN_FP_harmed_given_gain_pos,FN_FP_harmed_given_gain_pos_affected,E5_combined_sign_disagreement,E5_combined_n_both_nonzero,E5_combined_spearman,E5_combined_harmed_given_gain_pos,E5_combined_harmed_given_gain_pos_affected,E_risk_sign_disagreement,E_risk_n_both_nonzero,E_risk_spearman,E_risk_harmed_given_gain_pos,E_risk_harmed_given_gain_pos_affected,brake_vs_plan_both_nonzero,brake_vs_plan_opposite_sign
nuScenes mono Y8 320->640 q_brake,nuScenes,brake,mono,False,S0,all,0.25,0.25,3376,85,2.5589454976303316,0.6541266350272023,0.3439406900484745,4.177725118483412,0.5787010777084515,0.49871685201026517,486,221,0.4547325102880658,0.38163210061635844,0.5213580850024426,0.535476283396324,0.3576188432747805,0.7738805579610003,0.1299447335931296,0.2797375654858041,0.46229508196721314,305.0,0.0010446027778174623,0.0840446487196323,0.4507042253521127,0.4097938144329897,388.0,0.07114753935906021,0.06571428571428571,0.38764044943820225,0.43451143451143454,481.0,0.07463536364508201,0.06075418994413408,0.3815789473684211,0.4574468085106383,282.0,0.020512844728279998,0.09105960264900662,0.44,309.0,156.0
nuScenes mono Y8 320->640 q_brake,nuScenes,brake,mono,False,S0,test,0.25,0.25,955,24,1.974869109947644,0.6755037115588547,0.3295093971198438,3.1905759162303666,0.6160157531998687,0.4915792042958262,120,57,0.475,0.3333333333333333,0.6097899728997289,0.6466823236235182,0.22922855564857283,1.9113509923777523,0.09053360190490667,0.25623852968068733,0.49230769230769234,65.0,0.0031345250941374365,0.07377049180327869,0.46551724137931033,0.38372093023255816,86.0,0.09393624867454892,0.04912280701754386,0.3684210526315789,0.4152542372881356,118.0,0.0994821443616493,0.05778894472361809,0.3898305084745763,0.4727272727272727,55.0,0.030653555806466188,0.0873015873015873,0.4583333333333333,80.0,44.0
nuScenes mono Y8 320->640 q_brake,nuScenes,brake,mono,False,S1,all,0.25,0.498046875,3376,85,2.5589454976303316,0.6541266350272023,0.3439406900484745,2.593601895734597,0.7643901324805847,0.4099230111206159,407,156,0.3832923832923833,0.32712593867334167,0.4434291692545179,0.4000205292587495,0.2818356659383732,0.5892718426079838,0.1549005224490695,0.25817637103098967,0.4700854700854701,234.0,-0.013298367677467022,0.07292707292707293,0.43452380952380953,0.40540540540540543,296.0,0.03269750617413405,0.05810616929698709,0.3767441860465116,0.42144638403990026,401.0,0.04106680735141875,0.050982474774296335,0.35294117647058826,0.48,225.0,0.0006363690034959957,0.07482185273159145,0.4144736842105263,261.0,129.0
nuScenes mono Y8 320->640 q_brake,nuScenes,brake,mono,False,S1,test,0.25,0.498046875,955,24,1.974869109947644,0.6755037115588547,0.3295093971198438,2.095287958115183,0.7731134432783608,0.4068830851842812,101,40,0.39603960396039606,0.2574090179288199,0.5429017857142856,0.4060698188654757,0.1659088256273896,1.0907409554000338,0.1577887663686686,0.26566888058670574,0.4745762711864407,59.0,-0.009716869524902071,0.07228915662650602,0.45,0.4084507042253521,71.0,0.03577141608844111,0.05128205128205128,0.375,0.43,100.0,0.04461740272634553,0.047325102880658436,0.36507936507936506,0.48214285714285715,56.0,0.018830627097627062,0.09142857142857143,0.45714285714285713,65.0,35.0
nuScenes mono Y8 320->640 q_brake,nuScenes,brake,mono,False,S2,all,0.25,0.4,3376,85,2.5589454976303316,0.6541266350272023,0.3439406900484745,3.0906398104265405,0.7026068621813303,0.4495580268035358,430,174,0.4046511627906977,0.3363870000966775,0.4710955970784078,0.41415343050132714,0.27716085676940494,0.6131554133126454,0.15755219940077209,0.26893082182864836,0.4717741935483871,248.0,-0.020750013443100693,0.07937806873977087,0.4511627906976744,0.39375,320.0,0.050658528378258454,0.06044776119402985,0.36160714285714285,0.4066193853427896,423.0,0.06943987330002395,0.05701509223029626,0.35664335664335667,0.4700854700854701,234.0,0.002321127357128125,0.082,0.4270833333333333,273.0,137.0
nuScenes mono Y8 320->640 q_brake,nuScenes,brake,mono,False,S2,test,0.25,0.4,955,24,1.974869109947644,0.6755037115588547,0.3295093971198438,2.4544502617801047,0.7226962457337884,0.4449597266292409,105,43,0.4095238095238095,0.26666666666666666,0.5333458646616541,0.39667875432524086,0.13044998668007154,1.0392015936683958,0.1540053656154358,0.25526262620371487,0.4827586206896552,58.0,-0.01699906921210668,0.07333333333333333,0.4489795918367347,0.4117647058823529,68.0,0.03782989007790937,0.05389221556886228,0.3673469387755102,0.4326923076923077,104.0,0.05096651411761506,0.05627705627705628,0.38235294117647056,0.4528301886792453,53.0,0.03547013931196041,0.09178743961352658,0.4318181818181818,71.0,41.0
nuScenes mono Y8 320->640 q_brake,nuScenes,brake,mono,False,S3,all,0.25,0.34,3376,85,2.5589454976303316,0.6541266350272023,0.3439406900484745,3.4410545023696684,0.6597228200051648,0.4695181066438551,451,189,0.4190687361419069,0.34920552931916565,0.4805201121835363,0.45386979214484685,0.2964067825673993,0.6715813334547084,0.14856226071314416,0.2720271806545936,0.46886446886446886,273.0,-0.01915837253819896,0.08208955223880597,0.45081967213114754,0.4117647058823529,340.0,0.04424126766976948,0.06379585326953748,0.3755868544600939,0.42696629213483145,445.0,0.05764315796202943,0.06294536817102138,0.375886524822695,0.4689922480620155,258.0,0.0059513713894875616,0.08804448563484708,0.4337899543378995,285.0,149.0
nuScenes mono Y8 320->640 q_brake,nuScenes,brake,mono,False,S3,test,0.25,0.34,955,24,1.974869109947644,0.6755037115588547,0.3295093971198438,2.6848167539267016,0.6879875195007801,0.4639980473517208,110,47,0.42727272727272725,0.2902867383512545,0.5600384615384616,0.4585912840923637,0.1558918792464591,1.2564119149359294,0.13872977332048175,0.25623852968068733,0.4666666666666667,60.0,-0.005126702764529092,0.06666666666666667,0.4230769230769231,0.4533333333333333,75.0,0.022998891048546025,0.05521472392638037,0.4090909090909091,0.46296296296296297,108.0,0.037179547343980386,0.05605381165919283,0.4032258064516129,0.4528301886792453,53.0,0.03950154994043374,0.08482142857142858,0.4222222222222222,74.0,43.0
nuScenes mono Y8 320->640 q_brake,nuScenes,brake,mono,False,S4,all,0.45,0.4,3376,85,1.5192535545023698,0.8305712614544746,0.25805531793555747,3.0906398104265405,0.7026068621813303,0.4495580268035358,406,211,0.5197044334975369,0.4414982872749155,0.5925925925925926,0.5164882434612922,0.32267417957839656,0.8615711752655617,0.1273804837031442,0.263448575925055,0.5234899328859061,298.0,-0.03457095678332284,0.08963093145869948,0.523972602739726,0.43097643097643096,297.0,0.03916025473230705,0.07184628237259816,0.46994535519125685,0.4430693069306931,404.0,0.0495402359062548,0.07155635062611806,0.46875,0.5125448028673835,279.0,0.005155145625257192,0.09697821503865074,0.5130111524163569,263.0,131.0
nuScenes mono Y8 320->640 q_brake,nuScenes,brake,mono,False,S4,test,0.45,0.4,955,24,1.1979057591623037,0.8583916083916084,0.2536001952648279,2.4544502617801047,0.7226962457337884,0.4449597266292409,106,51,0.4811320754716981,0.3269021739130435,0.6296451914098973,0.45894518354959446,0.12722798108097877,1.4391773867856346,0.15180965166409421,0.28058090797535573,0.5138888888888888,72.0,-0.03615749457021625,0.08415841584158416,0.5,0.43661971830985913,71.0,0.035031132785405095,0.06825938566552901,0.43478260869565216,0.44339622641509435,106.0,0.05096385061546695,0.0702576112412178,0.4411764705882353,0.4714285714285714,70.0,0.03934391051653938,0.1,0.4696969696969697,73.0,43.0
nuScenes mono Y8 320->640 q_plan,nuScenes,plan,mono,False,S0,all,0.25,0.25,2655,85,2.609416195856874,0.6551674364896074,0.33239841291558353,4.2531073446327685,0.582624867162593,0.48310302366944863,1531,790,0.5160026126714565,0.48530271813778647,0.5488501946320613,0.722123427170749,0.5334667740750302,1.0068120219820615,0.014754767634640176,0.05169848202357774,0.5175141242937853,885.0,-0.0025571249496039515,0.3480392156862745,0.5163636363636364,0.49559859154929575,1136.0,0.0033985383999426927,0.3482880755608028,0.5077452667814114,0.5029663810151616,1517.0,-0.0038166959509088605,0.34524847428073235,0.518324607329843,0.5191040843214756,759.0,0.0004650740432185768,0.3558974358974359,0.5171385991058122,309.0,156.0
nuScenes mono Y8 320->640 q_plan,nuScenes,plan,mono,False,S0,test,0.25,0.25,752,24,2.074468085106383,0.6685897435897435,0.31918554631488383,3.3856382978723403,0.6099764336213669,0.4794952681388013,422,225,0.533175355450237,0.4767833341197009,0.586903132187055,0.5450587588437357,0.28130231656696963,1.1505320533912042,0.026179097638170022,0.05640454249832535,0.5067264573991032,223.0,0.03689203533133381,0.3543046357615894,0.5144230769230769,0.4852459016393443,305.0,0.028421276903473708,0.3706896551724138,0.5212121212121212,0.4855769230769231,416.0,0.018293229000035726,0.34591194968553457,0.5188679245283019,0.4943181818181818,176.0,0.04339532696003877,0.37735849056603776,0.5161290322580645,80.0,44.0
nuScenes mono Y8 320->640 q_plan,nuScenes,plan,mono,False,S1,all,0.25,0.498046875,2655,85,2.609416195856874,0.6551674364896074,0.33239841291558353,2.6365348399246704,0.7651428571428571,0.39430838692023534,1434,739,0.5153417015341701,0.4867686394368806,0.5441532091371635,0.7648464429358314,0.5682260640603178,1.027767027139503,0.010301476812169107,0.04298684188215472,0.5214899713467048,698.0,-0.009127989391747877,0.34474017743979724,0.5271317829457365,0.5119760479041916,1002.0,-0.014409213628305167,0.34290843806104127,0.5086551264980027,0.5127298444130127,1414.0,-0.014300087729191314,0.33963538149898714,0.5201654601861427,0.5203007518796993,665.0,-0.00022610762158692087,0.35958395245170877,0.5318681318681319,261.0,129.0
nuScenes mono Y8 320->640 q_plan,nuScenes,plan,mono,False,S1,test,0.25,0.498046875,752,24,2.074468085106383,0.6685897435897435,0.31918554631488383,2.1941489361702127,0.7672727272727272,0.3934614281617436,395,210,0.5316455696202531,0.48647710210210215,0.5800121951219511,0.7182173319505613,0.3937361589815638,1.339681632838047,0.011658072794381741,0.04074414491023137,0.48520710059171596,169.0,0.041202323666653023,0.3434343434343434,0.5112781954887218,0.4942528735632184,261.0,0.0033774793926617613,0.34385964912280703,0.5025641025641026,0.5257731958762887,388.0,-0.027448313316596643,0.35309278350515466,0.5436507936507936,0.45394736842105265,152.0,0.06511679987917546,0.3586206896551724,0.49056603773584906,65.0,35.0
nuScenes mono Y8 320->640 q_plan,nuScenes,plan,mono,False,S2,all,0.25,0.4,2655,85,2.609416195856874,0.6551674364896074,0.33239841291558353,3.143879472693032,0.7046843177189409,0.43364345327678205,1457,749,0.514070006863418,0.48400744092946346,0.5422229278591167,0.7030167804464705,0.5246439452199568,0.9435490279988418,0.014093976918759363,0.04647831454230983,0.5246995994659546,749.0,-0.016311398120026143,0.3425925925925926,0.5195007800312013,0.5095419847328244,1048.0,-0.009828795770574598,0.3507951356407858,0.5129958960328317,0.5083449235048678,1438.0,-0.015202811462561897,0.33805811481218995,0.5167930660888408,0.5361890694239291,677.0,-0.02438059829272883,0.36034912718204487,0.5302752293577981,273.0,137.0
