geometry,target,signal,deployable,quota,eta,n_escalated,boot_dropped,n_frames,lo,hi,minus_random,minus_random_lo,minus_random_hi,p_le_random,minus_unc_sum,minus_unc_sum_lo,minus_unc_sum_hi
oracle,plan,unc_sum (eta-table uncertainty),True,0.3,0.0210092369786745,796.0,0,2655,-0.1668247003103585,0.16037802323480005,-0.03525897368360966,-0.16013965893382792,0.08259731482075731,0.725,,,
oracle,plan,feat_ent_mean (gate uncertainty),True,0.3,0.15712783421102436,796.0,0,2655,0.03115694509127672,0.28840374924258516,0.10717695622857201,0.014074000254232525,0.2181211190246399,0.0125,0.14243592991218168,0.005746271618884427,0.2825387793014649
oracle,plan,crit_sum (GT geometry),False,0.3,0.10733218660101378,796.0,0,2655,-0.13179866164538326,0.2565551833553458,0.029951669496231053,-0.12192926211286045,0.1705417334360019,0.3225,0.06521064317984072,-0.10339557051081148,0.22937717480449402
oracle,plan,dE_E6_risk_weighted (needs FULL),False,0.3,0.14847946741960816,796.0,0,2655,-0.08686685355759052,0.3561873076924106,0.09264743499100966,-0.08249310282995662,0.2502678695071846,0.155,0.1279064086746193,-0.05463810442889687,0.3259686090260251
oracle,plan,linear (OOF by scene),True,0.3,0.05056995520862381,796.0,0,2655,-0.12535501582754108,0.20334955350116368,-0.0009238523093363812,-0.12708380225126711,0.11114811085873866,0.5075,0.034335121374273275,-0.09324464449035708,0.16593119532213385
oracle,plan,linear (OOF by scene) [escalate only pred>0],True,0.3,0.05056995520862381,796.0,0,2655,-0.12535501582754108,0.20334955350116368,-0.0009238523093363812,-0.12708380225126711,0.11114811085873866,0.5075,0.034335121374273275,-0.09324464449035708,0.16593119532213385
oracle,plan,gbm (OOF by scene),True,0.3,0.1363847192405578,796.0,0,2655,-0.06255593813011782,0.2828358308046557,0.07595040968144744,-0.04838785077154129,0.20031987235303622,0.1175,0.11120938336505709,-0.01433031908473851,0.2398474853544815
oracle,plan,gbm (OOF by scene) [escalate only pred>0],True,0.3,0.1363847192405578,796.0,0,2655,-0.06255593813011782,0.2828358308046557,0.07595040968144744,-0.04838785077154129,0.20031987235303622,0.1175,0.11120938336505709,-0.01433031908473851,0.2398474853544815
mono,brake,random,True,0.1,0.04650741001541541,338.0,0,3376,,,,,,,,,
mono,brake,unc_sum (eta-table uncertainty),True,0.1,0.17274138999685063,338.0,0,3376,-0.024488841413667025,0.38339327871511825,0.1090360680572509,-0.06603970212475403,0.34061945911483016,0.13,,,
mono,brake,feat_ent_mean (gate uncertainty),True,0.1,0.055730711969493925,338.0,0,3376,-0.011596073337741913,0.13647161877971997,0.015321165624063713,-0.04761826786521054,0.09098445116222892,0.355,-0.09371490243318718,-0.3571185715190556,0.12359940707980158
mono,brake,crit_sum (GT geometry),False,0.1,0.07008962838376599,338.0,0,3376,0.011189740266639983,0.1702604437559408,0.03328843133901217,-0.0381005690126646,0.12971363253702206,0.2375,-0.07574763671823873,-0.36231318856973854,0.1736529025731288
mono,brake,dE_E6_risk_weighted (needs FULL),False,0.1,0.10090553754626737,338.0,0,3376,-0.028028525251949415,0.23930048542814317,0.0665732107467799,-0.06398420780086077,0.20402894738837735,0.1625,-0.04246285731047099,-0.3727666017466984,0.21069612958483527
mono,brake,linear (OOF by scene),True,0.1,0.3257335598919758,338.0,0,3376,0.2238221980019154,0.4878290397744405,0.2904866795234684,0.16753596426064996,0.453921237004762,0.0,0.18145061146621752,-0.10059378832936663,0.4185540887635226
mono,brake,linear (OOF by scene) [escalate only pred>0],True,0.1,0.3257335598919758,338.0,0,3376,0.2238221980019154,0.4878290397744405,0.2904866795234684,0.16753596426064996,0.453921237004762,0.0,0.18145061146621752,-0.10059378832936663,0.4185540887635226
mono,brake,gbm (OOF by scene),True,0.1,0.2614696782609718,338.0,0,3376,0.16996842434262352,0.5015643376137043,0.252508955472858,0.11416370206000853,0.45049205841403483,0.0,0.14347288741560715,-0.1663883980067321,0.37153764747260476
mono,brake,gbm (OOF by scene) [escalate only pred>0],True,0.1,0.2614696782609718,338.0,0,3376,0.16996842434262352,0.5015643376137043,0.252508955472858,0.11416370206000853,0.45049205841403483,0.0,0.14347288741560715,-0.1663883980067321,0.37153764747260476
mono,brake,random,True,0.2,0.09287722414321124,675.0,0,3376,,,,,,,,,
mono,brake,unc_sum (eta-table uncertainty),True,0.2,0.19781977011073726,675.0,0,3376,-0.0037805607272022664,0.33784718066400465,0.087812950696103,-0.08925257615755301,0.2443559502309211,0.19,,,
mono,brake,feat_ent_mean (gate uncertainty),True,0.2,0.03756191180028445,675.0,0,3376,-0.03237580916131863,0.16385239045383973,-0.027424914772989677,-0.10966426025822475,0.07596280210528414,0.715,-0.11523786546909268,-0.3244681308622956,0.09456726897764237
mono,brake,crit_sum (GT geometry),False,0.2,0.17728780160484572,675.0,0,3376,0.037801803685592716,0.33743884524518974,0.09665028891659531,-0.05352691146422886,0.24490888255885437,0.11,0.008837338220492312,-0.262847045351675,0.27260567098260785
mono,brake,dE_E6_risk_weighted (needs FULL),False,0.2,0.16464905917804065,675.0,0,3376,-0.005223115496330656,0.3579634898592532,0.0815520431015532,-0.08613455808758626,0.2621502920344291,0.19,-0.006260907594549806,-0.3093348764794155,0.314604170259684
mono,brake,linear (OOF by scene),True,0.2,0.31645012975343095,675.0,0,3376,0.19593112557100237,0.47883026601024187,0.2394423088634377,0.10138938093159879,0.3999715797653142,0.0,0.1516293581673347,-0.0915318138651493,0.38169588364329227
mono,brake,linear (OOF by scene) [escalate only pred>0],True,0.2,0.31645012975343095,675.0,0,3376,0.19593112557100237,0.47883026601024187,0.2394423088634377,0.10138938093159879,0.3999715797653142,0.0,0.1516293581673347,-0.0915318138651493,0.38169588364329227
mono,brake,gbm (OOF by scene),True,0.2,0.4653768904898297,675.0,0,3376,0.2516864840069388,0.6389897448901402,0.3599113723211865,0.17072129265369348,0.5559894921197741,0.0,0.2720984216250834,0.10898266141625745,0.4411098310836528
mono,brake,gbm (OOF by scene) [escalate only pred>0],True,0.2,0.4653768904898297,675.0,0,3376,0.2516864840069388,0.6389897448901402,0.3599113723211865,0.17072129265369348,0.5559894921197741,0.0,0.2720984216250834,0.10898266141625745,0.4411098310836528
