cell,t_cheap,t_full,affected,harm_rate,rho
KITTI mono Y8 384->640 q_brake,0.55,0.25,2971,0.44665095927297205,0.1910554716856672
KITTI mono Y8 384->640 q_brake,0.55,0.35,2723,0.41792141020932794,0.15916520045019092
KITTI mono Y8 384->640 q_brake,0.55,0.45,2465,0.3793103448275862,0.12909554672071302
KITTI mono Y8 384->640 q_brake,0.55,0.55,2189,0.3430790315212426,0.10567425204857107
KITTI mono Y8 512->640 q_traj,0.15,0.15,722,0.4404432132963989,0.6893083107380378
KITTI mono Y8 512->640 q_traj,0.15,0.25,665,0.362406015037594,0.6273927239003565
KITTI mono Y8 512->640 q_traj,0.15,0.35,656,0.3384146341463415,0.5966032415743314
KITTI mono Y8 512->640 q_traj,0.15,0.45,676,0.33579881656804733,1.086818697499655
KITTI mono Y8 512->640 q_traj,0.15,0.55,715,0.34685314685314683,1.7597699904475081
KITTI mono Y8 512->640 q_traj,0.25,0.15,708,0.4901129943502825,0.4875465172838754
KITTI mono Y8 512->640 q_traj,0.25,0.25,624,0.40705128205128205,0.43522822619035645
KITTI mono Y8 512->640 q_traj,0.25,0.35,601,0.3777038269550749,0.4081529714045409
KITTI mono Y8 512->640 q_traj,0.25,0.45,620,0.3709677419354839,0.8197239698855595
KITTI mono Y8 512->640 q_traj,0.25,0.55,652,0.37883435582822084,1.385543052383167
KITTI mono Y8 512->640 q_traj,0.35,0.15,739,0.5209742895805142,0.24892908279890347
KITTI mono Y8 512->640 q_traj,0.35,0.25,648,0.44290123456790126,0.2181406278197798
KITTI mono Y8 512->640 q_traj,0.35,0.35,624,0.4166666666666667,0.2017598215848522
KITTI mono Y8 512->640 q_traj,0.35,0.45,609,0.4006568144499179,0.41934763825467614
KITTI mono Y8 512->640 q_traj,0.35,0.55,617,0.3987034035656402,0.7377767846624435
KITTI mono Y8 512->640 q_traj,0.45,0.15,798,0.5225563909774437,0.13073094706006053
KITTI mono Y8 512->640 q_traj,0.45,0.25,702,0.44871794871794873,0.11899925708504804
