cell,g_variant,arch,constant,n_distinct_test,tie_frac_20,eta20_recomputed,eta20_in_122,matches_122
nuScenes|mono|plan_fde|JC_fde,primary,R1_gbm_clf,False,631,0.006666666666666667,0.14398678467191067,0.1439867846719106,True
nuScenes|mono|plan_fde|JC_fde,dE_exact,gate_ridge,False,752,0.006666666666666667,0.04792832296911316,0.0479283229691131,True
nuScenes|mono|plan_fde|JC_fde,dE_exact,gate_gbm,False,743,0.006666666666666667,0.11161000114689325,0.1116100011468932,True
nuScenes|mono|plan_fde|JC_fde,dE_exact,R1_mlp_reg,False,653,0.006666666666666667,0.06276467322912418,0.0627646732291241,True
nuScenes|mono|plan_fde|JC_fde,dE_exact,R1_mlp_clf,False,616,0.006666666666666667,-0.02574958990789604,-0.025749589907896,True
nuScenes|mono|plan_fde|JC_fde,dE_exact,R1_gbm_reg,False,608,0.006666666666666667,-9.692813808954988e-05,-9.692813808954988e-05,True
nuScenes|mono|plan_fde|JC_fde,dE_exact,R1_gbm_clf,False,632,0.006666666666666667,0.2103104365999194,0.2103104365999194,True
nuScenes|mono|plan_fde|JC_fde,dE_E6_risk_weighted,gate_ridge,False,752,0.006666666666666667,0.013041653181989013,0.013041653181989,True
nuScenes|mono|plan_fde|JC_fde,dE_E6_risk_weighted,gate_gbm,False,745,0.006666666666666667,0.04438751007095378,0.0443875100709537,True
nuScenes|mono|plan_fde|JC_fde,dE_E6_risk_weighted,R1_mlp_reg,False,653,0.006666666666666667,0.15787472532211314,0.1578747253221131,True
nuScenes|mono|plan_fde|JC_fde,dE_E6_risk_weighted,R1_mlp_clf,False,640,0.006666666666666667,0.0016310587826629556,0.0016310587826629,True
nuScenes|mono|plan_fde|JC_fde,dE_E6_risk_weighted,R1_gbm_reg,False,586,0.006666666666666667,0.238071454460594,0.238071454460594,True
nuScenes|mono|plan_fde|JC_fde,dE_E6_risk_weighted,R1_gbm_clf,False,623,0.006666666666666667,0.1785834772682889,0.1785834772682889,True
nuScenes|mono|plan_fde|JC_fde,V (official),gate_ridge,False,752,0.006666666666666667,,,
nuScenes|mono|plan_fde|JC_fde,V (official),gate_gbm,False,740,0.006666666666666667,,,
nuScenes|mono|plan_fde|JC_fde,V (official),R1_mlp_reg,False,653,0.006666666666666667,,,
nuScenes|mono|plan_fde|JC_fde,V (official),R1_mlp_clf,False,597,0.006666666666666667,,,
nuScenes|mono|plan_fde|JC_fde,V (official),R1_gbm_reg,False,623,0.006666666666666667,,,
nuScenes|mono|plan_fde|JC_fde,V (official),R1_gbm_clf,False,643,0.006666666666666667,,,
KITTI|oracle|brake|J,primary,gate_ridge,False,3536,0.0014144271570014145,0.13865882188229078,0.1386588218822907,True
KITTI|oracle|brake|J,primary,gate_gbm,False,3396,0.0014144271570014145,0.08947647406530394,0.0894764740653039,True
