arm,model,target,task,n,spearman,r2,pearson,per_seq_median,per_seq_iqr,per_seq_n,per_seq_pos,auc,ap,base_rate
E_unc_crit,linear,value_task_pos,clf,8008,0.2635536030686951,,,0.6704417359447654,0.2145940809122997,21,17,0.655142489117047,0.7193124485999238,0.5975274725274725
E_unc_crit,tree,value_task_pos,clf,8008,0.23157031625311242,,,0.616018521516692,0.12287732892926073,21,17,0.6362562252566211,0.6956228376672488,0.5975274725274725
E_unc_crit,gbm,value_task_pos,clf,8008,0.2849321351675687,,,0.6348280963787515,0.1321124426725695,21,17,0.6677257343460388,0.7221709315111774,0.5975274725274725
F_all_visual,linear,value_task_pos,clf,8008,0.25489654798737027,,,0.6477107146326457,0.09639187210376599,21,19,0.6500466377535289,0.7124569074598702,0.5975274725274725
F_all_visual,tree,value_task_pos,clf,8008,0.19771741606305537,,,0.6163636363636364,0.06715221631247836,21,18,0.6162756195591315,0.6669095680185289,0.5975274725274725
F_all_visual,gbm,value_task_pos,clf,8008,0.25211783950372885,,,0.6405511811023622,0.13549601888292173,21,18,0.6484109283749798,0.7056347175293747,0.5975274725274725
G_all,linear,value_task_pos,clf,8008,0.27057525321206205,,,0.66519244734931,0.10376012071418161,21,18,0.6592760173660385,0.7178461350608143,0.5975274725274725
G_all,tree,value_task_pos,clf,8008,0.19694403002155644,,,0.6195866141732284,0.11408521312222986,21,17,0.615876224018135,0.681948267747501,0.5975274725274725
G_all,gbm,value_task_pos,clf,8008,0.2655354424320875,,,0.6621635902494011,0.12661055136925092,21,18,0.6563092921144427,0.7127682067280445,0.5975274725274725
H_visual_plus_stakes,linear,value_task_pos,clf,8008,0.25095395990422786,,,0.6355555555555555,0.09305807622504536,21,19,0.6477258056724606,0.7118858123258436,0.5975274725274725
H_visual_plus_stakes,tree,value_task_pos,clf,8008,0.19771741606305537,,,0.6163636363636364,0.06715221631247836,21,18,0.6162756195591315,0.6669095680185289,0.5975274725274725
H_visual_plus_stakes,gbm,value_task_pos,clf,8008,0.2323028441563075,,,0.6467154728927582,0.12481977211174611,21,18,0.6367466916698196,0.6983962852008836,0.5975274725274725
A_conf,linear,value_visual,reg,8008,0.21861918633009464,0.04750668726899365,0.2258435926010638,0.062483259061613165,0.33668480285431124,21,13,,,
A_conf,tree,value_visual,reg,8008,0.18618120355203369,0.03691244483548628,0.21151761403920577,0.10449582450814743,0.3973138784067952,21,13,,,
A_conf,gbm,value_visual,reg,8008,0.20540593531949297,0.0327860541294005,0.2142379035931345,0.08723355794351496,0.33573343276533923,21,12,,,
