track,geometry,system,target,signal,budget_level,budget_per_frame,n_frames,feasible,overhead,overhead_source,escalated_frac,eta,eta_lo,eta_hi,minus_random,minus_random_lo,minus_random_hi,note,row_type,n_cells
nuScenes,oracle,plan_ade,JC_ade,criticality_cheap,0.2,16.5801677512718,752.0,True,1.4709314999947765,measured,0.1239878276646448,-0.0455188896222311,-0.3775659707454276,0.1427479727875748,-0.0769927686044865,-0.3287236085928858,0.1558360616303478,,cell,
nuScenes,oracle,plan_ade,JC_ade,gate_gbm_batched,0.2,16.5801677512718,752.0,True,3.5357949274881264,measured,0.0172835013923785,-0.0137399666899956,-0.1543807273095859,0.0220208495082254,-0.0410413128534264,-0.1552673233292549,0.0792777481643353,,cell,
nuScenes,oracle,plan_ade,JC_ade,R1_mlp_reg,0.2,16.5801677512718,752.0,True,0.6491920000541995,measured,0.1664522146768704,0.0299041909530251,-0.1829363517129135,0.1174870803506317,-0.0016474869665737,-0.1545377950667095,0.1210586880060699,,cell,
nuScenes,oracle,plan_ade,JC_ade,R1_mlp_clf,0.2,16.5801677512718,752.0,True,0.6491920000541995,measured,0.1664522146768704,-0.0360352545037818,-0.2428100465855335,0.1427465655874499,-0.029740404148587,-0.1998498129975637,0.1363994946830495,,cell,
nuScenes,oracle,plan_ade,JC_ade,R1_gbm_reg,0.2,16.5801677512718,752.0,True,15.909292499998172,measured,0.0,0.0,0.0,0.0,-0.0102815842204444,-0.0908889041284135,0.1089660966309397,,cell,
nuScenes,oracle,plan_ade,JC_ade,R1_gbm_clf,0.2,16.5801677512718,752.0,True,15.909292499998172,measured,0.0,0.0,0.0,0.0,-0.0102815842204444,-0.0908889041284135,0.1089660966309397,,cell,
nuScenes,oracle,plan_ade,JC_ade,R2_cnn_clf,0.2,16.5801677512718,752.0,True,9.765887999975575,measured,0.0,0.0,0.0,0.0,-0.0102815842204444,-0.0908889041284135,0.1089660966309397,,cell,
nuScenes,oracle,plan_ade,JC_ade,criticality_gt,0.2,16.5801677512718,752.0,False,,,,,,,,,,needs FULL on every frame: >= 32.06 ms per frame before computing the metric,cell,
nuScenes,oracle,plan_ade,JC_ade,dE_exact,0.2,16.5801677512718,752.0,False,,,,,,,,,,needs FULL on every frame: >= 32.06 ms per frame before computing the metric,cell,
nuScenes,oracle,plan_ade,JC_ade,dE_E6_risk_weighted,0.2,16.5801677512718,752.0,False,,,,,,,,,,needs FULL on every frame: >= 32.06 ms per frame before computing the metric,cell,
nuScenes,oracle,plan_ade,JC_ade,PKL,0.2,16.5801677512718,752.0,False,,,,,,,,,,needs FULL on every frame: >= 32.06 ms per frame before computing the metric,cell,
nuScenes,oracle,plan_ade,JC_ade,TIP,0.2,16.5801677512718,752.0,False,,,,,,,,,,needs FULL on every frame: >= 32.06 ms per frame before computing the metric,cell,
nuScenes,oracle,plan_ade,JC_ade,random,0.3,18.51529400119034,752.0,True,0.0,none,0.3,0.0258227626848478,-0.1641755855906158,0.1325813810510014,0.0,0.0,0.0,,cell,
nuScenes,oracle,plan_ade,JC_ade,oracle,0.3,18.51529400119034,752.0,True,0.0,none,0.3,1.0,1.0,1.0,0.9851227685386268,0.8674186189489985,1.164175585590616,,cell,
nuScenes,oracle,plan_ade,JC_ade,gate_ridge,0.3,18.51529400119034,752.0,True,3.925717499981829,measured,0.0971337787316416,0.0225188209674258,-0.1349573233656504,0.2137267095924816,0.0143363538432803,-0.1358940667666767,0.2192780378932355,,cell,
nuScenes,oracle,plan_ade,JC_ade,gate_gbm,0.3,18.51529400119034,752.0,True,21.37658250001095,measured,0.0,0.0,0.0,0.0,-0.0148772314613732,-0.1325813810510014,0.1641755855906158,,cell,
nuScenes,oracle,plan_ade,JC_ade,uncertainty,0.3,18.51529400119034,752.0,True,0.2944104999755836,measured,0.2847859797267503,-0.0147996842427926,-0.4670455239868945,0.253415946174535,-0.0644251574060893,-0.3684846493293197,0.2133520067267976,,cell,
nuScenes,oracle,plan_ade,JC_ade,criticality_cheap,0.3,18.51529400119034,752.0,True,1.4709314999947765,measured,0.2239878276646448,-0.1738875215132915,-0.5255313996716607,0.1074868847759763,-0.187735539683124,-0.458951822382205,0.0781665363596691,,cell,
nuScenes,oracle,plan_ade,JC_ade,gate_gbm_batched,0.3,18.51529400119034,752.0,True,3.5357949274881264,measured,0.1172835013923785,-0.1206608768218854,-0.3712397476073709,0.0869567738971281,-0.1250298376841254,-0.343043781279189,0.1089172325584501,,cell,
nuScenes,oracle,plan_ade,JC_ade,R1_mlp_reg,0.3,18.51529400119034,752.0,True,0.6491920000541995,measured,0.2664522146768704,-0.0513482851602885,-0.2917482915135849,0.1524852702203127,-0.060251021928131,-0.2336052241956982,0.1471032458608617,,cell,
nuScenes,oracle,plan_ade,JC_ade,R1_mlp_clf,0.3,18.51529400119034,752.0,True,0.6491920000541995,measured,0.2664522146768704,0.0119931977090216,-0.2499801723758688,0.179571215048236,-0.0030325860319782,-0.1783282824082261,0.1618307060605592,,cell,
nuScenes,oracle,plan_ade,JC_ade,R1_gbm_reg,0.3,18.51529400119034,752.0,True,15.909292499998172,measured,0.0,0.0,0.0,0.0,-0.0148772314613732,-0.1325813810510014,0.1641755855906158,,cell,
nuScenes,oracle,plan_ade,JC_ade,R1_gbm_clf,0.3,18.51529400119034,752.0,True,15.909292499998172,measured,0.0,0.0,0.0,0.0,-0.0148772314613732,-0.1325813810510014,0.1641755855906158,,cell,
nuScenes,oracle,plan_ade,JC_ade,R2_cnn_clf,0.3,18.51529400119034,752.0,True,9.765887999975575,measured,0.0,0.0,0.0,0.0,-0.0148772314613732,-0.1325813810510014,0.1641755855906158,,cell,
nuScenes,oracle,plan_ade,JC_ade,criticality_gt,0.3,18.51529400119034,752.0,False,,,,,,,,,,needs FULL on every frame: >= 32.06 ms per frame before computing the metric,cell,
