planner,loss,split,variant,logs,states_failed,states,affected,v_pos,v_neg,harm_rate,rho,all_full_reduction,oracle20_reduction,selective_extra_share,all_cheap_cost,all_full_cost,harm_rate_lo,harm_rate_hi,harm_rate_finite_draws,rho_lo,rho_hi,rho_finite_draws,all_full_reduction_lo,all_full_reduction_hi,all_full_reduction_finite_draws,oracle20_reduction_lo,oracle20_reduction_hi,oracle20_reduction_finite_draws
pdm_closed,collision,all,nofp,34,0,1440,4,3,1,0.25,0.3333333333333333,0.024096385542168676,0.03614457831325301,0.33333333333333326,83.0,81.0,0.0,1.0,1000,0.0,2.0,957,-0.03783411949685534,0.051854256854256854,1000,0.0,0.05661725067385444,1000
pdm_closed,clearance_shortfall,all,nofp,34,0,1440,6,4,2,0.3333333333333333,0.1041104598481166,0.01180687864990106,0.013178944636298958,0.10411045984811232,237.0607593458986,234.26181172764817,0.0,0.6666666666666666,1000,0.0,2.6158202891408404,987,-0.001013760716323933,0.02318913782345819,1000,0.0008126178804031982,0.023571278272879057,1000
pdm_closed,log_deviation,all,nofp,34,0,1440,28,20,8,0.2857142857142857,0.05856595191562303,0.003988869078295507,0.004237013826313032,0.058565951915586716,3356.581386462967,3343.192422761723,0.0,0.5,1000,0.0,0.5678918057428968,1000,0.00023082735693352429,0.008656076090955511,1000,0.0005617138897442246,0.00882056101177154,1000
pdm_closed,safety,all,nofp,34,0,1440,6,4,2,0.3333333333333333,0.30236403677984275,0.0204104270274837,0.029256558009528495,0.30236403677984675,1185.5911390188478,1161.3927175914723,0.0,0.6666666666666666,1000,0.0,56.288094956473884,987,-0.02041940679353152,0.04289214115264777,1000,0.0003701005458180245,0.044461329388609264,1000
pdm_closed,scalar_J,all,nofp,34,0,1440,28,20,8,0.2857142857142857,0.29275138665627237,0.016787069793515772,0.023735740836803857,0.2927513866562658,1521.2492776651447,1495.7119598676445,0.0,0.5,1000,0.0,21.469409902816157,1000,-0.01323612305906616,0.035006371538477854,1000,0.0005339681607176713,0.0366567061777236,1000
pdm_closed,collision,test,nofp,9,0,384,0,0,0,0.0,,0.0,0.0,,13.0,13.0,0.0,0.0,1000,,,0,0.0,0.0,976,0.0,0.0,976
pdm_closed,clearance_shortfall,test,nofp,9,0,384,0,0,0,0.0,,0.0,0.0,,35.400178840635846,35.400178840635846,0.0,0.0,1000,,,0,0.0,0.0,1000,0.0,0.0,1000
pdm_closed,log_deviation,test,nofp,9,0,384,4,2,2,0.5,0.18975436460242356,0.001489576458892679,0.0018384257733913925,0.18975436460248382,612.8104860083109,611.8976579345904,0.0,0.6666666666666666,1000,0.0,1.772040700696974,902,-0.00033655456373441075,0.005759832107724061,1000,0.0,0.0058509696212270205,1000
pdm_closed,safety,test,nofp,9,0,384,0,0,0,0.0,,0.0,0.0,,183.10026826095375,183.10026826095375,0.0,0.0,1000,,,0,0.0,0.0,1000,0.0,0.0,1000
pdm_closed,scalar_J,test,nofp,9,0,384,4,2,2,0.5,0.18975436460242354,0.0003735261293467293,0.0004610035685826839,0.18975436460263534,244.38131686178485,244.2900340544128,0.0,0.6666666666666666,1000,0.0,1.7720407006969736,902,-5.536297611653104e-05,0.00282159172854004,1000,0.0,0.0028215917285400577,1000
