section,track,geometry,system,target,split,n_inputs,n_affected,n_harmed,harmed_over_affected,harmed_over_all_inputs,signal,quota,ndg_recomputed,ndg_released,matches_3dp,trivial,n_test_frames,n_test_units,all_cheap_loss,gain,gain_random,delta_vs_random,delta_share_all_cheap,ndg,oracle_prize,undefined_reason,delta_lo_all_draws,delta_hi_all_draws,delta_share_lo_all_draws,delta_share_hi_all_draws,delta_lo_filtered,delta_hi_filtered,draws_dropped_by_filter,beats_random_all_draws,beats_random_filtered,available,ndg_full,ndg_min_leave_one_out,ndg_max_leave_one_out,gain_full,gain_min_leave_one_out,gain_max_leave_one_out,most_influential_unit,ndg_without_that_unit,gain_without_that_unit,ndg_change_without_that_unit
sanity,nuScenes,oracle,plan_ade,JC_ade,,,,,,,criticality_cheap,0.2,-0.18656546100630178,-0.1865654610063017,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,plan_ade,JC_ade,,,,,,,criticality_cheap,0.3,-0.21283187761739472,-0.2128318776173947,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,plan_ade,JC_ade,,,,,,,criticality_cheap,0.5,-0.0643060174041715,-0.0643060174041715,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,plan_ade,JC_ade,,,,,,,criticality_gt,0.1,-0.26340838536346534,-0.2634083853634653,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,plan_ade,JC_ade,,,,,,,criticality_gt,0.2,-0.05047674358638532,-0.0504767435863853,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,plan_ade,JC_ade,,,,,,,criticality_gt,0.3,-0.09314546781580586,-0.0931454678158058,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,plan_ade,JC_ade,,,,,,,criticality_gt,0.5,-0.05378597455462033,-0.0537859745546203,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,plan_ade,JC_ade,,,,,,,PKL,0.1,-0.08340704147085416,-0.0834070414708541,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,plan_ade,JC_ade,,,,,,,PKL,0.2,-0.0058823302522511235,-0.0058823302522511,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,plan_ade,JC_ade,,,,,,,PKL,0.3,0.05070787395375543,0.0507078739537554,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,plan_ade,JC_ade,,,,,,,PKL,0.5,0.052209555282194856,0.0522095552821948,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,plan_ade,JC_ade,,,,,,,TIP,0.1,-0.20045644701213444,-0.2004564470121344,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,plan_ade,JC_ade,,,,,,,TIP,0.2,-0.03608558932329936,-0.0360855893232993,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,plan_ade,JC_ade,,,,,,,TIP,0.3,0.004184320790072118,0.0041843207900721,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,plan_ade,JC_ade,,,,,,,TIP,0.5,-0.002727508458397147,-0.0027275084583971,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,plan_ade,JC_ade,,,,,,,dE_exact,0.1,0.04286911694738491,0.0428691169473849,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,plan_ade,JC_ade,,,,,,,dE_exact,0.2,0.12946009691516053,0.1294600969151605,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,plan_ade,JC_ade,,,,,,,dE_exact,0.3,0.015940755471664358,0.0159407554716643,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,plan_ade,JC_ade,,,,,,,dE_exact,0.5,-0.07973565133000167,-0.0797356513300016,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
