group,track,geometry,trained_for,evaluated_on,diagonal,signal,quota,coverage,n_test_frames,n_test_units,gain,gain_random,delta_vs_random,gain_share_all_cheap,ndg,official_ndg,matches_3dp,undefined_reason,ndg_diag,transfer_regret,delta_lo_all_draws,delta_hi_all_draws,beats_random_all_draws,delta_lo_filtered,beats_random_filtered,draws_dropped_by_filter,delta_share_lo_all_draws,n_entries,median_transfer_regret,off_diag_beating_random_all_draws,off_diag_beating_random_filtered,diag_beating_random_all_draws,n_diag_entries
KITTI mono,KITTI,mono,brake/J,traj/JB,False,R1_gbm_clf,0.1,1.0,3536.0,6.0,39.742778321966654,38.598974916481346,1.1438034054853077,0.016879275860987704,0.0686317491543382,,,,0.04123639130863754,0.027395357845700657,-100.98082423570312,200.31338671723992,False,-100.98082423570312,False,29.0,-0.04288787198358105,,,,,,
KITTI mono,KITTI,mono,brake/J,traj/JB,False,R1_gbm_clf,0.2,1.0,3536.0,6.0,93.54789408129426,77.08891318065625,16.45898090063801,0.03973100968484298,0.16154772946397972,,,,0.1148179589379224,0.04672977052605731,-157.34658396788507,286.9460413690075,False,-157.34658396788507,False,29.0,-0.06682714467171584,,,,,,
KITTI mono,KITTI,mono,brake/J,traj/JB,False,R1_gbm_clf,0.3,1.0,3536.0,6.0,197.19182942376693,115.68788809713757,81.50394132662936,0.08374993965977684,0.3405302986786082,,,,0.19585833274612405,0.14467196593248413,-141.93463278366346,304.8857250094525,False,-141.93463278366346,False,29.0,-0.060281488163077476,,,,,,
KITTI mono,KITTI,mono,brake/J,traj/JB,False,R1_gbm_clf,0.5,1.0,3536.0,6.0,175.2677879788344,192.77680127779382,-17.509013298959417,0.07443851355517049,0.3026697016989991,,,,0.46669325214719964,-0.16402355044820055,-209.85495416067965,233.99907760058417,False,-209.85495416067965,False,29.0,-0.08912813375493667,,,,,,
KITTI mono,KITTI,mono,traj/JB,brake/J,False,gate_ridge,0.1,1.0,3536.0,6.0,136.3674434983172,80.83086618948832,55.53657730882887,0.01713850079139658,0.06671711825192402,,,,0.03404858335391997,0.032668534898004045,-151.45323945924727,210.77593572031972,False,-151.45323945924727,False,1.0,-0.019034465982079637,,,,,,
KITTI mono,KITTI,mono,traj/JB,brake/J,False,gate_ridge,0.2,1.0,3536.0,6.0,244.6662957178053,161.43339659878035,83.23289911902495,0.030749373862386895,0.10541288116076752,,,,0.14930733082883615,-0.04389444966806863,-159.6816079927872,374.622096932814,False,-160.45921971997257,False,4.0,-0.020068597714744382,,,,,,
KITTI mono,KITTI,mono,traj/JB,brake/J,False,gate_ridge,0.3,1.0,3536.0,6.0,400.9164968383957,242.26426278826864,158.65223405012705,0.05038671637511178,0.1725239943274071,,,,0.2328304911763842,-0.060306496848977126,-136.42428999038052,413.8201924633495,False,-136.70259473338731,False,4.0,-0.017145645192026396,,,,,,
KITTI mono,KITTI,mono,traj/JB,brake/J,False,gate_ridge,0.5,1.0,3536.0,6.0,371.90848438990747,403.697659387049,-31.789174997141515,0.046741023300933174,0.16004115010777994,,,,0.16039431393943074,-0.00035316383165079346,-350.4253961094007,402.62681461791,False,-350.4253961094007,False,4.0,-0.04404105389436693,,,,,,
KITTI mono,KITTI,mono,traj/JB,brake/J,False,gate_gbm,0.1,1.0,3536.0,6.0,274.7399550901576,80.83086618948832,193.90908890066927,0.03452899619548146,0.13441520646021743,,,,0.060128389442166044,0.07428681701805138,32.58776897246302,449.7994166360041,True,33.88989043890068,True,1.0,0.004095592686910629,,,,,,
KITTI mono,KITTI,mono,traj/JB,brake/J,False,gate_gbm,0.2,1.0,3536.0,6.0,441.36937662305775,161.43339659878035,279.9359800242774,0.05547078698916753,0.1901611233761061,,,,0.11341785944589929,0.07674326393020682,-36.01606037006501,529.2846303987079,False,-32.71043968264868,False,4.0,-0.004526456339727183,,,,,,
KITTI mono,KITTI,mono,traj/JB,brake/J,False,gate_gbm,0.3,1.0,3536.0,6.0,466.4238747197345,242.26426278826864,224.15961193146586,0.05861960700399194,0.2007133918182241,,,,0.22757381272329674,-0.02686042090507265,42.39806203633718,634.0274536953,True,42.398062036337194,True,4.0,0.005328538844188371,,,,,,
KITTI mono,KITTI,mono,traj/JB,brake/J,False,gate_gbm,0.5,1.0,3536.0,6.0,765.5106966520146,403.697659387049,361.81303726496566,0.0962084889459338,0.32941763217091297,,,,0.3661989805366657,-0.03678134836575275,110.1018990417815,721.5773514687751,True,111.69973188367982,True,4.0,0.013837477886612463,,,,,,
KITTI mono,KITTI,mono,traj/JB,brake/J,False,R1_mlp_reg,0.1,1.0,3536.0,6.0,305.00750796271296,80.83086618948832,224.17664177322465,0.03833298683688649,0.14922346165948394,,,,0.0731725124671035,0.07605094919238044,91.51693618437184,461.193608787779,True,91.84804343038957,True,1.0,0.0115017414933162,,,,,,
KITTI mono,KITTI,mono,traj/JB,brake/J,False,R1_mlp_reg,0.2,1.0,3536.0,6.0,451.8950682032791,161.43339659878035,290.46167160449875,0.05679364359518615,0.19469604908961957,,,,0.17441354498483397,0.020282504104785604,86.00731306611823,633.5025513549845,True,92.11689471598781,True,4.0,0.010809298504358562,,,,,,
KITTI mono,KITTI,mono,traj/JB,brake/J,False,R1_mlp_reg,0.3,1.0,3536.0,6.0,561.8338568797517,242.26426278826864,319.56959409148305,0.07061062196187495,0.2417705978717526,,,,0.26769833960723205,-0.02592774173547946,87.01676889705637,655.9036695336746,True,87.0167688970564,True,4.0,0.010936165732441683,,,,,,
KITTI mono,KITTI,mono,traj/JB,brake/J,False,R1_mlp_reg,0.5,1.0,3536.0,6.0,754.9786815526162,403.697659387049,351.2810221655672,0.09488483760742154,0.32488545320697976,,,,0.3915251627774832,-0.06663970957050347,64.2344274148578,596.5239090255034,True,67.72348460538674,True,4.0,0.008072907703208735,,,,,,
KITTI mono,KITTI,mono,traj/JB,brake/J,False,R1_mlp_clf,0.1,1.0,3536.0,6.0,207.9461907554154,80.83086618948832,127.11532456592707,0.026134434021809393,0.101736677338513,,,,0.07742124619458171,0.024315431143931296,-23.2695781265958,482.81939434096694,False,-23.271508928031107,False,1.0,-0.0029244933607855458,,,,,,
KITTI mono,KITTI,mono,traj/JB,brake/J,False,R1_mlp_clf,0.2,1.0,3536.0,6.0,387.5204484027308,161.43339659878035,226.08705180395043,0.04870311667692529,0.16696066311462784,,,,0.16844804900571136,-0.0014873858910835203,32.06859611703114,720.9837600451808,True,35.46942671693725,True,4.0,0.004030343649710628,,,,,,
KITTI mono,KITTI,mono,traj/JB,brake/J,False,R1_mlp_clf,0.3,1.0,3536.0,6.0,642.1063479464599,242.26426278826864,399.84208515819125,0.08069917474530475,0.27631377806675944,,,,0.23163325241312896,0.04468052565363048,65.87000139576949,885.9571307024296,True,67.08952411603858,True,4.0,0.008278464728017142,,,,,,
KITTI mono,KITTI,mono,traj/JB,brake/J,False,R1_mlp_clf,0.5,1.0,3536.0,6.0,933.7157033634724,403.697659387049,530.0180439764233,0.11734829744191663,0.401800285048942,,,,0.34293893278194976,0.05886135226699224,64.85648722384427,969.7246435644338,True,65.32853057865199,True,4.0,0.008151087452385759,,,,,,
KITTI mono,KITTI,mono,traj/JB,brake/J,False,R1_gbm_reg,0.1,1.0,3536.0,6.0,244.93654504894567,80.83086618948832,164.10567885945736,0.030783338482217,0.11983403091698996,,,,0.08484189079980796,0.034992140117182005,22.664467952133343,519.7347862642368,True,22.664467952133343,True,1.0,0.0028484438218497007,,,,,,
KITTI mono,KITTI,mono,traj/JB,brake/J,False,R1_gbm_reg,0.2,1.0,3536.0,6.0,466.42993140268305,161.43339659878035,304.9965348039027,0.05862036820082048,0.20095830030256945,,,,0.203208438970616,-0.0022501386680465474,61.42770122504446,785.3935731326313,True,61.720870849601496,True,4.0,0.0077201616386691945,,,,,,
KITTI mono,KITTI,mono,traj/JB,brake/J,False,R1_gbm_reg,0.3,1.0,3536.0,6.0,739.3633432008882,242.26426278826864,497.0990804126195,0.09292232014846281,0.3181657982003662,,,,0.330367976670491,-0.01220217847012478,56.902475403943015,885.2321671665752,True,59.08609253729453,True,4.0,0.0071514365505791445,,,,,,
KITTI mono,KITTI,mono,traj/JB,brake/J,False,R1_gbm_reg,0.5,1.0,3536.0,6.0,804.7463799442967,403.697659387049,401.0487205572477,0.10113958372856834,0.346301688714184,,,,0.399459912628632,-0.05315822391444802,46.15007516546243,809.7757247849288,True,46.2866230282805,True,4.0,0.005800087465569082,,,,,,
