track,geometry,system,target,section,objective,signal,tier,n_units,n_frames,n_affected,available,quota,k,coverage,gain,prize,eta,ndg_defined,undefined_reason,pool,n_methods,kendall_tau,kendall_p,argmax_dec,argmax_perc,argmax_differs,eta_dec_of_dec,eta_dec_of_perc,regret_ndg,perc_winner_worse_than_random,cheap_loss_total,e_dec_defined,n_affected_dec,regret_gain,regret_gain_lo,regret_gain_hi,regret_share_cheap,regret_share_lo,regret_share_hi,n_draws,n_draws_kept_under_official_filter,eta_official,abs_diff,matches_to_3dp
nuScenes,oracle,brake,J,score,E_dec,TIP,3.0,24.0,955.0,62.0,True,0.1,96.0,1.0,4.744839676067185,50.488453014699864,0.09397870983857855,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_dec,TIP,3.0,24.0,955.0,62.0,True,0.2,191.0,1.0,6.331047539630695,50.488453014699864,0.12539595019454033,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_dec,TIP,3.0,24.0,955.0,62.0,True,0.3,286.0,1.0,6.331047539630695,50.488453014699864,0.12539595019454033,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_dec,TIP,3.0,24.0,955.0,62.0,True,0.5,478.0,1.0,7.536334052379502,50.488453014699864,0.14926846837999325,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_perc_dE,random,1.0,24.0,955.0,392.0,True,0.1,96.0,1.0,66.7476439790576,334.0,0.19984324544628024,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_perc_dE,random,1.0,24.0,955.0,392.0,True,0.2,191.0,1.0,132.8,516.0,0.25736434108527134,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_perc_dE,random,1.0,24.0,955.0,392.0,True,0.3,286.0,1.0,198.8523560209424,611.0,0.3254539378411496,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_perc_dE,random,1.0,24.0,955.0,392.0,True,0.5,478.0,1.0,332.34764397905764,691.0,0.48096619968025706,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_perc_dE,uncertainty,1.0,24.0,955.0,392.0,True,0.1,96.0,1.0,152.0,334.0,0.4550898203592814,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_perc_dE,uncertainty,1.0,24.0,955.0,392.0,True,0.2,191.0,1.0,269.0,516.0,0.5213178294573644,True,,,,,,,,,,,,,,,,,,,,,,,,,,
